yyyymm,600381.SH,600446.SH,600155.SH,600228.SH,600330.SH,600192.SH,600566.SH,600200.SH,600539.SH,600398.SH
201811,0.06722689,0.14757709,0.15465269,0.0777439,0.05776173,0.06960557,-0.0843016,0.21364452,0.08510638,0.01550388
201812,-0.096063,-0.0882917,-0.1452894,0.19377652,-0.059727,-0.0824295,-0.0947624,-0.1242604,-0.0377074,0.07888041
201901,-0.0627178,0.11684211,-0.0491368,-0.1386256,0.10163339,0.17730496,-0.0023859,-0.0456081,-0.0470219,0.04245283
201902,0.21189591,0.79076343,0.34636872,0.14305365,0.29818781,0.2811245,0.04753363,0.25663717,0.11019737,0.11425339
201903,0.20705521,0.24894737,0.31327801,-0.0168472,0.10152284,0.09247649,-0.0148402,0.06056338,0.09481481,-0.0081218
201904,-0.1537484,-0.0219132,0.04423381,0.00122399,-0.1347926,0.05164993,0.04577057,-0.1367862,0.01082544,-0.0716479
201905,-0.0945946,-0.1968979,0.07261725,-0.0488998,0.09720373,-0.1459754,-0.0554017,-0.0846154,-0.1057564,-0.0407938
201906,0.00995025,0.05364807,-0.0528914,-0.0835476,-0.0461165,-0.0207668,-0.1170088,-0.0117647,-0.0703593,0.04252874
201907,-0.0525452,0.01934827,-0.095309,-0.0154278,-0.086514,-0.0685155,0.00132846,-0.0867347,0.01932367,-0.0077178
201908,-0.0381282,0.02047952,-0.0041152,-0.0498575,-0.0208914,-0.0718039,-0.0348259,-0.0335196,-0.042654,-0.0655556
201909,-0.0378378,0.02300538,0.08264463,0.13043478,-0.0497866,-0.0396226,-0.0268041,-0.0481696,0.05115512,-0.0344828
201910,0.01123596,-0.0330144,-0.0053435,-0.0689655,-0.0853293,-0.021611,-0.1518362,0.00202429,-0.0015699,-0.0541872
201911,0.04444444,-0.086096,-0.0544896,-0.0868946,-0.0376432,-0.0281124,-0.062448,-0.0161616,-0.0235849,0
201912,-0.0443262,0.11423931,0.1387987,-0.0234009,0.36734694,0.06198347,0.07371226,0.10472279,0.09339775,0
202001,-0.0204082,-0.0024295,-0.0933713,-0.0239617,0.08830846,-0.0291829,0.07775021,0.36988848,-0.0544919,-0.03125
202002,-0.0984848,-0.057964,-0.0511006,-0.0981997,0.09028571,-0.0460922,-0.1097467,0.13975577,-0.1199377,-0.0846774
202003,-0.0168067,-0.1318511,0.01822701,0.66606171,-0.1928721,-0.0063025,-0.0551724,-0.2107143,0.06902655,-0.0704846
202004,-0.0641026,0.01727219,-0.0805533,0.25816993,0.14545455,-0.0063425,-0.0547445,-0.0196078,0.01986755,0.01105845
202005,0.02054795,-0.0567916,-0.0123894,-0.0606061,0.05102041,-0.006383,0.05984556,-0.0492308,0.09253247,-0.0484375
202006,0.14317673,0.20422098,0.07437276,-0.00553,0.07551241,0.01070664,0.15938069,0.0631068,0.02526003,-0.044335
